date,<OPEN>,<HIGH>,<LOW>,<CLOSE>,Номинал,"Ставка купона,  % годовых",Размер выплаты
2022-07-12,98.6,98.65,98.55,98.65,0.0,0,0
2022-07-13,98.55,98.55,98.55,98.55,0.0,0,0
2022-07-14,98.7,98.7,98.521,98.521,0.0,0,0
2022-07-15,98.698,98.698,98.698,98.698,0.0,0,0
2022-07-18,98.7,98.7,98.7,98.7,0.0,0,0
2022-07-19,102.639,102.639,98.35,98.35,0.0,0,0
2022-07-21,98.849,98.849,98.5,98.599,0.0,0,0
2022-07-22,98.6,98.6,98.6,98.6,0.0,0,0
2022-07-25,98.6,98.63,98.401,98.401,0.0,0,0
2022-07-26,98.799,98.799,98.502,98.65,0.0,0,0
2022-07-27,98.65,98.693,98.5,98.55,1000.0,11.64,29.03
2022-07-28,98.789,98.789,98.55,98.65,0.0,0,0
2022-07-29,98.698,98.698,98.698,98.698,0.0,0,0
2022-08-01,98.698,98.699,98.601,98.65,0.0,0,0
2022-08-02,98.799,98.9,98.7,98.848,0.0,0,0
2022-08-03,98.8,98.85,98.8,98.85,0.0,0,0
2022-08-04,98.85,98.999,98.83,98.999,0.0,0,0
2022-08-05,98.861,98.87,98.81,98.81,0.0,0,0
2022-08-08,98.85,99.049,98.7,98.95,0.0,0,0
2022-08-10,98.9,98.9,98.751,98.751,0.0,0,0
2022-08-11,98.949,98.96,98.949,98.949,0.0,0,0
2022-08-12,99.0,99.0,99.0,99.0,0.0,0,0
2022-08-15,98.766,98.95,98.766,98.95,0.0,0,0
2022-08-16,99.0,99.0,98.801,98.801,0.0,0,0
2022-08-17,98.8,98.95,98.8,98.85,0.0,0,0
2022-08-18,98.85,98.85,98.85,98.85,0.0,0,0
2022-08-19,98.7,98.849,98.7,98.849,0.0,0,0
2022-08-22,98.95,98.95,98.95,98.95,0.0,0,0
2022-08-23,102.999,102.999,98.801,98.801,0.0,0,0
2022-08-24,98.82,98.82,98.82,98.82,0.0,0,0
2022-08-25,98.85,98.85,98.85,98.85,0.0,0,0
2022-08-26,98.75,98.75,98.75,98.75,0.0,0,0
2022-08-29,98.8,98.8,98.8,98.8,0.0,0,0
2022-09-01,98.651,98.83,98.65,98.83,0.0,0,0
2022-09-02,98.8,98.8,98.8,98.8,0.0,0,0
2022-09-05,98.84,98.84,98.84,98.84,0.0,0,0
2022-09-06,102.833,102.833,98.65,98.65,0.0,0,0
2022-09-07,98.85,98.85,98.85,98.85,0.0,0,0
2022-09-08,98.85,98.85,98.85,98.85,0.0,0,0
2022-09-09,98.651,98.85,98.651,98.85,0.0,0,0
2022-09-12,98.85,98.85,98.651,98.85,0.0,0,0
2022-09-13,98.8,98.8,98.65,98.65,0.0,0,0
2022-09-15,98.79,98.79,98.602,98.788,0.0,0,0
2022-09-16,98.8,98.8,98.8,98.8,0.0,0,0
2022-09-19,94.708,102.728,94.708,98.8,0.0,0,0
2022-09-20,98.8,98.8,98.65,98.8,0.0,0,0
2022-09-21,98.999,98.999,98.5,98.501,0.0,0,0
2022-09-22,98.999,98.999,98.6,98.8,0.0,0,0
2022-09-23,98.8,98.8,98.8,98.8,0.0,0,0
2022-09-26,98.5,98.999,98.5,98.6,0.0,0,0
2022-09-27,99.55,99.55,98.7,98.7,0.0,0,0
2022-09-28,98.7,98.85,98.7,98.7,0.0,0,0
2022-09-29,98.7,98.7,98.555,98.69,0.0,0,0
2022-09-30,98.7,98.8,98.7,98.8,0.0,0,0
2022-10-03,98.8,98.8,98.611,98.8,0.0,0,0
2022-10-04,98.95,98.999,98.8,98.85,0.0,0,0
2022-10-05,98.85,98.85,98.85,98.85,0.0,0,0
2022-10-06,98.849,98.85,98.849,98.849,0.0,0,0
2022-10-07,98.849,98.85,98.7,98.85,0.0,0,0
2022-10-10,98.949,98.949,98.8,98.85,0.0,0,0
2022-10-11,98.95,98.95,98.85,98.85,0.0,0,0
2022-10-12,98.85,98.95,98.76,98.85,0.0,0,0
2022-10-13,98.651,98.85,98.651,98.85,0.0,0,0
2022-10-14,98.949,98.949,98.85,98.851,0.0,0,0
2022-10-17,98.949,102.8,98.651,102.8,0.0,0,0
2022-10-18,98.731,99.0,98.55,98.55,0.0,0,0
2022-10-19,98.75,98.75,98.556,98.556,0.0,0,0
2022-10-20,98.8,98.8,98.602,98.75,0.0,0,0
2022-10-21,98.75,98.85,98.75,98.75,0.0,0,0
