date,CLOSE,OPEN,HIGH,LOW
2022-05-17,2424.1,2378.08,2425.17,2371.93
2022-05-18,2445.3,2438.0,2490.17,2438.0
2022-05-19,2436.57,2454.36,2454.83,2414.63
2022-05-20,2373.26,2441.56,2451.02,2365.81
2022-05-23,2301.85,2379.66,2389.42,2300.77
2022-05-24,2293.62,2300.11,2317.92,2229.22
2022-05-25,2340.18,2300.15,2340.18,2291.13
2022-05-26,2413.06,2348.44,2415.03,2327.29
2022-05-27,2407.59,2424.7,2439.89,2399.92
2022-05-30,2400.39,2418.21,2433.04,2376.44
2022-05-31,2355.75,2400.75,2400.75,2351.74
2022-06-01,2374.6,2349.84,2385.64,2338.9
2022-06-02,2340.17,2374.67,2382.23,2337.53
2022-06-03,2308.03,2341.55,2348.03,2286.82
2022-06-06,2282.16,2308.35,2321.75,2277.21
2022-06-07,2291.62,2281.3,2294.4,2239.72
2022-06-08,2318.85,2296.62,2342.69,2296.62
2022-06-09,2293.99,2321.57,2323.39,2275.22
2022-06-10,2285.52,2282.81,2296.1,2273.95
2022-06-14,2289.75,2280.02,2308.43,2261.26
2022-06-15,2318.96,2290.76,2320.4,2282.79
2022-06-16,2369.75,2321.52,2374.24,2317.87
2022-06-17,2353.98,2373.07,2382.49,2345.4
2022-06-20,2404.4,2358.26,2404.4,2357.33
2022-06-21,2358.81,2407.63,2415.59,2357.27
2022-06-22,2373.52,2348.04,2373.52,2320.87
2022-06-23,2404.54,2375.6,2404.54,2350.1
2022-06-24,2391.51,2405.31,2414.02,2372.05
2022-06-27,2417.06,2387.55,2417.06,2384.32
2022-06-28,2408.75,2419.15,2419.81,2392.26
2022-06-29,2378.55,2407.49,2407.49,2370.41
2022-06-30,2204.85,2380.03,2407.2,2184.71
2022-07-01,2206.61,2197.9,2237.92,2165.13
2022-07-04,2204.66,2208.7,2240.83,2197.39
2022-07-05,2226.64,2214.39,2238.73,2187.57
2022-07-06,2221.88,2227.02,2273.24,2214.04
2022-07-07,2226.65,2221.02,2239.59,2206.16
2022-07-08,2222.51,2225.02,2234.55,2202.52
2022-07-11,2162.34,2213.55,2224.35,2156.36
2022-07-12,2133.77,2160.74,2160.74,2105.26
2022-07-13,2073.68,2138.14,2142.51,2064.58
2022-07-14,2063.3,2073.79,2105.61,2049.44
2022-07-15,2109.52,2069.02,2109.52,2056.82
2022-07-18,2096.42,2119.02,2127.96,2083.01
2022-07-19,2071.28,2089.28,2089.28,2047.33
2022-07-20,2075.24,2076.24,2098.92,2067.37
2022-07-21,2053.64,2075.99,2075.99,2022.16
2022-07-22,2096.75,2056.16,2099.68,2053.2
2022-07-25,2128.96,2099.81,2132.75,2090.22
2022-07-26,2192.42,2135.89,2192.42,2135.89
2022-07-27,2196.22,2198.96,2220.82,2184.71
2022-07-28,2189.16,2204.01,2213.21,2169.21
2022-07-29,2213.81,2187.67,2213.81,2181.07
2022-08-01,2180.09,2213.75,2220.73,2178.98
2022-08-02,2137.3,2176.57,2178.81,2137.3
2022-08-03,2123.92,2138.76,2156.54,2123.92
2022-08-04,2116.58,2126.39,2137.83,2111.87
2022-08-05,2054.29,2120.13,2124.6,2052.08
2022-08-08,2088.4,2106.5,2119.41,2086.98
2022-08-09,2136.8,2090.37,2136.8,2071.72
2022-08-10,2151.5,2138.81,2158.87,2128.59
2022-08-11,2133.11,2157.17,2174.9,2128.38
2022-08-12,2147.33,2133.93,2150.9,2117.08
2022-08-15,2165.12,2147.76,2165.75,2139.45
2022-08-16,2208.33,2172.4,2208.33,2168.06
2022-08-17,2188.56,2213.43,2225.05,2186.86
2022-08-18,2194.31,2188.42,2197.92,2176.02
2022-08-19,2195.16,2199.6,2199.6,2179.56
2022-08-22,2228.11,2193.29,2231.22,2187.04
2022-08-23,2260.08,2230.74,2261.59,2230.74
2022-08-24,2248.22,2263.57,2273.65,2243.08
2022-08-25,2246.34,2249.39,2266.18,2234.87
2022-08-26,2268.89,2248.98,2268.89,2239.66
2022-08-29,2296.33,2267.43,2296.33,2263.99
2022-08-30,2306.62,2299.28,2314.53,2292.44
2022-08-31,2400.08,2377.02,2423.12,2368.42
2022-09-01,2445.77,2401.98,2448.5,2380.01
2022-09-02,2471.45,2443.76,2474.71,2431.54
2022-09-05,2488.44,2472.1,2488.44,2440.88
2022-09-06,2425.33,2487.76,2492.15,2382.24
2022-09-07,2401.57,2422.88,2436.64,2394.56
2022-09-08,2390.27,2397.59,2407.39,2378.3
2022-09-09,2426.06,2391.69,2426.81,2391.69
2022-09-12,2449.65,2419.77,2465.22,2413.55
2022-09-13,2446.89,2459.75,2465.55,2438.8
2022-09-14,2435.89,2439.96,2439.96,2400.14
2022-09-15,2446.59,2434.79,2457.02,2418.3
2022-09-16,2435.18,2446.09,2469.02,2427.68
2022-09-19,2430.54,2436.48,2453.03,2427.19
2022-09-20,2215.67,2430.53,2436.3,2171.92
2022-09-21,2130.71,2052.89,2186.43,2002.73
2022-09-22,2190.87,2138.39,2216.85,2138.39
2022-09-23,2089.87,2192.11,2192.68,2071.37
